src,dest
/wiki/Green_tea,/wiki/Jiangsu
/wiki/Green_tea,/wiki/Chun_Mee
/wiki/Green_tea,/wiki/Gunpowder_tea
/wiki/Green_tea,/wiki/Gunpowder
/wiki/Green_tea,/wiki/Huangshan_Maofeng
/wiki/Green_tea,/wiki/Microclimate
/wiki/Green_tea,/wiki/Huangshan
/wiki/Green_tea,/wiki/Anhui
/wiki/Green_tea,/wiki/Hangzhou
/wiki/Green_tea,/wiki/Terroir
/wiki/Green_tea,/wiki/Lu%27an_Melon_Seed_tea
/wiki/Green_tea,/wiki/Taiping_houkui
/wiki/Green_tea,/wiki/Cultivar
/wiki/Green_tea,/wiki/Maojian_tea
/wiki/Green_tea,/wiki/Xinyang
/wiki/Green_tea,/wiki/Henan
/wiki/Green_tea,/wiki/Sencha
/wiki/Green_tea,/wiki/History_of_tea_in_Japan
/wiki/Green_tea,/wiki/Saicho
/wiki/Green_tea,/wiki/K%C5%ABkai
/wiki/Green_tea,/wiki/Heian_period
/wiki/Green_tea,/wiki/Emperor_Saga
/wiki/Green_tea,/wiki/Rinzai_school
/wiki/Green_tea,"/wiki/Uji,_Kyoto"
/wiki/Green_tea,/wiki/Kyoto
/wiki/Green_tea,/wiki/Kyushu
/wiki/Green_tea,/wiki/Shiga_Prefecture
/wiki/Green_tea,/wiki/Gifu_Prefecture
/wiki/Green_tea,/wiki/Saitama_Prefecture
/wiki/Green_tea,/wiki/Honshu
/wiki/Green_tea,/wiki/Bancha
/wiki/Green_tea,/wiki/Genmaicha
/wiki/Green_tea,/wiki/Chlorophyll
/wiki/Green_tea,/wiki/H%C5%8Djicha
/wiki/Green_tea,/wiki/Kabusecha
/wiki/Green_tea,/wiki/Kukicha
/wiki/Green_tea,/wiki/Matcha
/wiki/Green_tea,/wiki/Japanese_tea_ceremony
/wiki/Green_tea,/wiki/Shincha
/wiki/Green_tea,/wiki/Boseong
/wiki/Green_tea,/wiki/South_Korea
/wiki/Green_tea,/wiki/Hangul
/wiki/Green_tea,/wiki/Hanja
/wiki/Green_tea,/wiki/Revised_Romanization_of_Korean
/wiki/Green_tea,/wiki/McCune%E2%80%93Reischauer
/wiki/Green_tea,/wiki/Traditional_Korean_tea
/wiki/Green_tea,/wiki/Korean_tea_ceremony
/wiki/Green_tea,/wiki/Goguryeo
/wiki/Green_tea,/wiki/Sejak
